City	State	Years Lived	Latitude	Longitude
Cincinnati	Ohio	18	39.1031	-84.512
Dayton	Ohio	1	39.7589	-84.1916
Oxford	Ohio	4	39.507	-84.7452
Madison	Wisconsin	3	43.0731	-89.4012
